frame,x1,y1,x2,y2,prob
frame_00000.jpg,48,0,166,158,0.9996306896209717
frame_00003.jpg,51,1,168,154,0.9997090697288513
frame_00005.jpg,52,-2,166,157,0.9973324537277222
frame_00006.jpg,52,-10,166,152,0.9979768395423889
frame_00008.jpg,63,-1,170,158,0.9954324960708618
frame_00009.jpg,53,-13,169,150,0.9987373948097229
frame_00010.jpg,52,-11,169,149,0.9977250695228577
frame_00011.jpg,55,-4,163,153,0.9995065927505493
frame_00013.jpg,57,0,165,147,0.9998350143432617
frame_00014.jpg,57,0,164,144,0.9999184608459473
frame_00016.jpg,54,-8,167,147,0.9999525547027588
frame_00017.jpg,57,-7,169,149,0.999923825263977
frame_00019.jpg,55,-3,165,147,0.999976396560669
frame_00020.jpg,58,-3,165,152,0.9999723434448242
frame_00022.jpg,59,-2,168,154,0.9998666048049927
frame_00023.jpg,58,-4,166,150,0.999964714050293
frame_00024.jpg,62,0,164,150,0.9999935626983643
frame_00025.jpg,58,0,166,149,0.9999327659606934
frame_00027.jpg,61,0,167,150,0.9999290704727173
frame_00028.jpg,59,-1,166,157,0.9997246861457825
frame_00031.jpg,62,-11,168,153,0.9992758631706238
frame_00033.jpg,64,-5,173,157,0.999471127986908
frame_00034.jpg,58,-4,171,154,0.9994155168533325
frame_00037.jpg,60,0,169,158,0.9941428303718567
frame_00038.jpg,55,-6,170,154,0.9972119927406311
frame_00040.jpg,56,-7,170,152,0.9931240677833557
frame_00041.jpg,56,-1,166,156,0.9948475360870361
frame_00042.jpg,57,-1,167,153,0.9921274185180664
frame_00043.jpg,51,-2,166,150,0.9999067783355713
frame_00044.jpg,54,-3,168,156,0.9981643557548523
frame_00046.jpg,55,-3,165,147,0.9984664916992188
frame_00048.jpg,54,-8,170,153,0.9961603879928589
frame_00050.jpg,60,-6,174,154,0.9983807802200317
