frame,x1,y1,x2,y2,prob
frame_00000.jpg,61,0,174,150,0.9999891519546509
frame_00002.jpg,47,-10,167,153,0.9999725818634033
frame_00006.jpg,50,-12,169,152,0.9999649524688721
frame_00009.jpg,51,-8,165,148,0.9999570846557617
frame_00012.jpg,51,-1,166,152,0.9999995231628418
frame_00018.jpg,52,-15,169,153,0.9999477863311768
frame_00019.jpg,50,-11,168,155,0.9999841451644897
frame_00020.jpg,54,-3,169,150,0.9999418258666992
frame_00023.jpg,65,5,172,157,0.9999431371688843
frame_00024.jpg,60,1,170,153,0.9999548196792603
frame_00028.jpg,50,-7,166,156,0.9997422099113464
frame_00033.jpg,54,-7,167,151,0.9999732971191406
frame_00037.jpg,58,1,168,144,0.9999387264251709
frame_00039.jpg,52,-4,165,153,0.9999868869781494
frame_00040.jpg,50,-7,164,152,0.9999932050704956
frame_00042.jpg,49,-14,165,151,0.9999197721481323
frame_00044.jpg,55,-7,170,159,0.9998598098754883
frame_00045.jpg,56,-6,169,149,0.9999895095825195
frame_00046.jpg,60,1,170,149,0.9999732971191406
frame_00048.jpg,57,0,168,149,0.9999852180480957
frame_00050.jpg,57,-3,169,148,0.9999452829360962
frame_00052.jpg,53,-7,167,152,0.9999985694885254
frame_00054.jpg,55,-17,170,150,0.9999587535858154
frame_00056.jpg,54,-6,164,145,0.9998871088027954
frame_00058.jpg,49,-4,162,156,0.999944806098938
frame_00060.jpg,53,-8,166,155,0.999993085861206
frame_00063.jpg,48,-2,165,154,0.9999971389770508
frame_00066.jpg,54,-20,170,146,0.9999760389328003
frame_00068.jpg,53,-3,168,150,0.9999909400939941
frame_00069.jpg,52,-6,163,150,0.9999499320983887
frame_00071.jpg,50,-11,162,146,0.9999871253967285
frame_00073.jpg,57,-7,164,147,0.9999667406082153
frame_00076.jpg,60,-1,163,149,0.9999891519546509
frame_00080.jpg,54,-5,162,148,0.9999897480010986
frame_00081.jpg,61,4,165,150,0.9998874664306641
frame_00083.jpg,51,4,162,154,0.9999973773956299
frame_00086.jpg,61,-2,165,141,0.9999322891235352
frame_00088.jpg,57,-17,167,147,0.9999279975891113
frame_00091.jpg,51,-5,169,148,0.9999955892562866
frame_00099.jpg,58,-5,171,152,0.9999872446060181
frame_00101.jpg,53,-6,171,153,0.999903678894043
frame_00103.jpg,59,3,168,146,0.99994957447052
frame_00105.jpg,49,-16,169,159,0.9999957084655762
