video_uid,video_id,true_label,split,sync_score
FAKE__id00020,id00020,1,train,0.5300070643424988
FAKE__id00021,id00021,1,train,0.5397686958312988
FAKE__id00032,id00032,1,train,0.5179711580276489
FAKE__id00033,id00033,1,train,0.5354897975921631
FAKE__id00042,id00042,1,train,0.5356413125991821
FAKE__id00043,id00043,1,train,0.5432075262069702
FAKE__id00049,id00049,1,train,0.5265083312988281
FAKE__id00056,id00056,1,train,0.5330694913864136
FAKE__id00060,id00060,1,train,0.5453909635543823
FAKE__id00063,id00063,1,train,0.5290787816047668
FAKE__id00068,id00068,1,train,0.5056109428405762
FAKE__id00071,id00071,1,train,0.5438226461410522
FAKE__id00080,id00080,1,train,0.5455729365348816
FAKE__id00082,id00082,1,train,0.519403874874115
FAKE__id00097,id00097,1,train,0.5539236664772034
FAKE__id00098,id00098,1,train,0.5301844477653503
FAKE__id00100,id00100,1,train,0.5021835565567017
FAKE__id00103,id00103,1,train,0.5440083146095276
FAKE__id00126,id00126,1,train,0.5392348766326904
FAKE__id00137,id00137,1,train,0.534140408039093
FAKE__id00145,id00145,1,train,0.528748631477356
FAKE__id00149,id00149,1,train,0.5431526303291321
FAKE__id00169,id00169,1,train,0.5258688926696777
FAKE__id00171,id00171,1,train,0.535437822341919
FAKE__id00173,id00173,1,train,0.5121615529060364
FAKE__id00180,id00180,1,train,0.5503911972045898
FAKE__id00185,id00185,1,train,0.515396773815155
FAKE__id00187,id00187,1,train,0.5406075119972229
FAKE__id00188,id00188,1,train,0.5143789052963257
FAKE__id00190,id00190,1,train,0.5303379893302917
FAKE__id00192,id00192,1,train,0.5380836129188538
FAKE__id00231,id00231,1,train,0.5617436766624451
FAKE__id00232,id00232,1,train,0.5541834235191345
FAKE__id00234,id00234,1,train,0.5498660206794739
FAKE__id00241,id00241,1,train,0.5320234894752502
FAKE__id00253,id00253,1,train,0.500055730342865
FAKE__id00262,id00262,1,train,0.5082991123199463
FAKE__id00264,id00264,1,train,0.5384867787361145
FAKE__id00265,id00265,1,train,0.5213593244552612
FAKE__id00266,id00266,1,train,0.5104568600654602
FAKE__id00271,id00271,1,train,0.543444037437439
FAKE__id00272,id00272,1,train,0.5018203854560852
FAKE__id00282,id00282,1,train,0.510089099407196
FAKE__id00287,id00287,1,train,0.5365039110183716
FAKE__id00291,id00291,1,train,0.5475687980651855
FAKE__id00292,id00292,1,train,0.5628079771995544
FAKE__id00305,id00305,1,train,0.5398752093315125
FAKE__id00306,id00306,1,train,0.5269076824188232
FAKE__id00325,id00325,1,train,0.5449552536010742
FAKE__id00328,id00328,1,train,0.5368053317070007
FAKE__id00332,id00332,1,train,0.5160587430000305
FAKE__id00345,id00345,1,train,0.5056410431861877
FAKE__id00350,id00350,1,train,0.5300137400627136
FAKE__id00358,id00358,1,train,0.5077967047691345
FAKE__id00363,id00363,1,train,0.5199835300445557
FAKE__id00365,id00365,1,train,0.5196875333786011
FAKE__id00366,id00366,1,train,0.5549796223640442
FAKE__id00373,id00373,1,train,0.5378900170326233
FAKE__id00379,id00379,1,train,0.5018792748451233
FAKE__id00381,id00381,1,train,0.5538670420646667
FAKE__id00383,id00383,1,train,0.5416276454925537
FAKE__id00385,id00385,1,train,0.5171120166778564
FAKE__id00391,id00391,1,train,0.5275854468345642
FAKE__id00398,id00398,1,train,0.5106635689735413
FAKE__id00414,id00414,1,train,0.5595945715904236
FAKE__id00415,id00415,1,train,0.5186147093772888
FAKE__id00417,id00417,1,train,0.5446606874465942
FAKE__id00418,id00418,1,train,0.5361537337303162
FAKE__id00430,id00430,1,train,0.531495988368988
FAKE__id00431,id00431,1,train,0.527381420135498
FAKE__id00434,id00434,1,train,0.5423881411552429
FAKE__id00458,id00458,1,train,0.5327252745628357
FAKE__id00461,id00461,1,train,0.524667501449585
FAKE__id00462,id00462,1,train,0.5132787823677063
FAKE__id00478,id00478,1,train,0.5057393312454224
FAKE__id00491,id00491,1,train,0.507358729839325
FAKE__id00496,id00496,1,train,0.5545632839202881
FAKE__id00518,id00518,1,train,0.532568633556366
FAKE__id00529,id00529,1,train,0.5029488801956177
FAKE__id00548,id00548,1,train,0.5129790902137756
FAKE__id00555,id00555,1,train,0.511476457118988
FAKE__id00559,id00559,1,train,0.5334758758544922
FAKE__id00560,id00560,1,train,0.5374976396560669
FAKE__id00566,id00566,1,train,0.5364163517951965
FAKE__id00569,id00569,1,train,0.5282940864562988
FAKE__id00575,id00575,1,train,0.5207634568214417
FAKE__id00577,id00577,1,train,0.5278743505477905
FAKE__id00589,id00589,1,train,0.5414908528327942
FAKE__id00591,id00591,1,train,0.5005961060523987
FAKE__id00592,id00592,1,train,0.5416615605354309
FAKE__id00594,id00594,1,train,0.5286280512809753
FAKE__id00616,id00616,1,train,0.5377900004386902
FAKE__id00618,id00618,1,train,0.5221447348594666
FAKE__id00680,id00680,1,train,0.516876757144928
FAKE__id00685,id00685,1,train,0.5220152139663696
FAKE__id00694,id00694,1,train,0.5055704116821289
FAKE__id00696,id00696,1,train,0.517492949962616
FAKE__id00701,id00701,1,train,0.5215229988098145
FAKE__id00709,id00709,1,train,0.5460957884788513
FAKE__id00732,id00732,1,train,0.5553597211837769
FAKE__id00735,id00735,1,train,0.5014762878417969
FAKE__id00740,id00740,1,train,0.5518696904182434
FAKE__id00745,id00745,1,train,0.5522701740264893
FAKE__id00747,id00747,1,train,0.5264105796813965
FAKE__id00752,id00752,1,train,0.506817638874054
FAKE__id00761,id00761,1,train,0.5322540402412415
FAKE__id00773,id00773,1,train,0.5080822706222534
FAKE__id00775,id00775,1,train,0.49694550037384033
FAKE__id00806,id00806,1,train,0.5189202427864075
FAKE__id00826,id00826,1,train,0.5450482368469238
FAKE__id00829,id00829,1,train,0.5264951586723328
FAKE__id00841,id00841,1,train,0.5419023633003235
FAKE__id00848,id00848,1,train,0.5427550673484802
FAKE__id00857,id00857,1,train,0.5385006666183472
FAKE__id00863,id00863,1,train,0.5110071301460266
FAKE__id00897,id00897,1,train,0.5063276886940002
FAKE__id00909,id00909,1,train,0.5333340167999268
FAKE__id00943,id00943,1,train,0.5373865365982056
FAKE__id00945,id00945,1,train,0.5264895558357239
FAKE__id00946,id00946,1,train,0.5120319128036499
FAKE__id00971,id00971,1,train,0.5378261804580688
FAKE__id00981,id00981,1,train,0.5222355723381042
FAKE__id00999,id00999,1,train,0.5189159512519836
FAKE__id01001,id01001,1,train,0.5412410497665405
FAKE__id01005,id01005,1,train,0.5184110403060913
FAKE__id01018,id01018,1,train,0.5494288802146912
FAKE__id01026,id01026,1,train,0.5229238867759705
FAKE__id01036,id01036,1,train,0.5113328695297241
FAKE__id01044,id01044,1,train,0.5331507325172424
FAKE__id01048,id01048,1,train,0.5295324921607971
FAKE__id01051,id01051,1,train,0.532174289226532
FAKE__id01052,id01052,1,train,0.5142600536346436
FAKE__id01058,id01058,1,train,0.5413759350776672
FAKE__id01075,id01075,1,train,0.5360018610954285
FAKE__id01098,id01098,1,train,0.521694004535675
FAKE__id01099,id01099,1,train,0.5250796675682068
FAKE__id01123,id01123,1,train,0.5599280595779419
FAKE__id01124,id01124,1,train,0.5371322631835938
FAKE__id01126,id01126,1,train,0.5178187489509583
FAKE__id01156,id01156,1,train,0.5563406944274902
FAKE__id01157,id01157,1,train,0.533452570438385
FAKE__id01163,id01163,1,train,0.5070836544036865
FAKE__id01168,id01168,1,train,0.5505092740058899
FAKE__id01178,id01178,1,train,0.5447688698768616
FAKE__id01182,id01182,1,train,0.5508094429969788
FAKE__id01192,id01192,1,train,0.5050243735313416
FAKE__id01204,id01204,1,train,0.5387945175170898
FAKE__id01210,id01210,1,train,0.4898167550563812
FAKE__id01211,id01211,1,train,0.5192402601242065
FAKE__id01212,id01212,1,train,0.5342234373092651
FAKE__id01216,id01216,1,train,0.566035270690918
FAKE__id01217,id01217,1,train,0.5287014245986938
FAKE__id01223,id01223,1,train,0.5408350825309753
FAKE__id01225,id01225,1,train,0.5171799659729004
FAKE__id01227,id01227,1,train,0.513694703578949
FAKE__id01231,id01231,1,train,0.5174424052238464
FAKE__id01238,id01238,1,train,0.5200762152671814
FAKE__id01239,id01239,1,train,0.543127179145813
FAKE__id01245,id01245,1,train,0.5262269377708435
FAKE__id01248,id01248,1,train,0.5315201282501221
FAKE__id01451,id01451,1,train,0.5073389410972595
FAKE__id01528,id01528,1,train,0.5466014742851257
FAKE__id01532,id01532,1,train,0.5244304537773132
FAKE__id01589,id01589,1,train,0.5349293947219849
FAKE__id01597,id01597,1,train,0.5310509204864502
FAKE__id01610,id01610,1,train,0.5336405634880066
FAKE__id01637,id01637,1,train,0.5405079126358032
FAKE__id01661,id01661,1,train,0.508615255355835
FAKE__id01691,id01691,1,train,0.5360525846481323
FAKE__id01783,id01783,1,train,0.5284565091133118
FAKE__id01835,id01835,1,train,0.5409778952598572
FAKE__id01838,id01838,1,train,0.5369085669517517
FAKE__id01856,id01856,1,train,0.5194632411003113
FAKE__id01907,id01907,1,train,0.5271608233451843
