frame,x1,y1,x2,y2,prob
frame_00000.jpg,54,-1,168,158,0.9996474981307983
frame_00005.jpg,59,-3,166,158,0.999948263168335
frame_00006.jpg,52,-3,168,155,0.9999680519104004
frame_00009.jpg,48,-9,169,158,0.9999791383743286
frame_00014.jpg,51,-7,163,157,0.9999985694885254
frame_00015.jpg,47,-12,169,158,0.9999821186065674
frame_00018.jpg,56,-1,167,159,0.9999580383300781
frame_00021.jpg,54,-8,172,158,0.9994810223579407
frame_00023.jpg,49,-5,168,161,0.9991912245750427
frame_00025.jpg,56,-13,174,158,0.9996383190155029
frame_00026.jpg,57,-1,169,158,0.9997521042823792
frame_00028.jpg,61,0,168,159,0.9992769360542297
frame_00031.jpg,54,-2,166,158,0.9998685121536255
frame_00036.jpg,60,3,169,157,0.9999977350234985
frame_00038.jpg,54,-5,170,156,0.999990701675415
frame_00040.jpg,56,-1,167,156,0.9999600648880005
frame_00043.jpg,52,-1,162,159,0.9999895095825195
frame_00049.jpg,60,-1,170,152,0.9999884366989136
frame_00051.jpg,60,0,166,151,0.9997720122337341
frame_00054.jpg,52,-1,165,162,0.9999200105667114
