frame,x1,y1,x2,y2,prob
frame_00000.jpg,51,2,165,155,0.9999996423721313
frame_00005.jpg,50,-1,171,154,0.9999948740005493
frame_00009.jpg,53,10,168,156,0.9998925924301147
frame_00012.jpg,48,-5,169,151,0.9999592304229736
frame_00014.jpg,52,7,162,150,0.9999831914901733
frame_00017.jpg,54,6,170,156,0.9999754428863525
frame_00019.jpg,51,-1,170,158,0.999987006187439
frame_00021.jpg,49,-5,168,155,0.9999873638153076
frame_00025.jpg,47,3,164,164,0.9999085664749146
frame_00029.jpg,50,4,171,163,0.999974250793457
frame_00031.jpg,47,0,169,160,0.9999825954437256
frame_00034.jpg,51,0,169,156,0.999964714050293
frame_00038.jpg,54,2,167,148,0.9999934434890747
frame_00039.jpg,46,-1,166,148,0.9999862909317017
frame_00040.jpg,45,-4,172,167,0.9999974966049194
frame_00043.jpg,47,-6,171,156,0.9999885559082031
frame_00052.jpg,51,-1,170,155,0.9999932050704956
frame_00054.jpg,51,-7,172,157,0.9999405145645142
frame_00056.jpg,44,-10,162,145,0.9999998807907104
frame_00058.jpg,45,-10,164,148,0.9999750852584839
frame_00060.jpg,46,-12,171,158,0.9999587535858154
frame_00063.jpg,46,-10,171,157,0.9999977350234985
frame_00066.jpg,45,-7,168,152,0.9999216794967651
frame_00068.jpg,53,0,168,152,0.9999945163726807
